job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,industries,job_function,applicant_count,posted_date,source_platform,source_url,scraped_at
Operations Specialist - Surabaya,"GSM | XanhSM Co.,LTD",Surabaya,,Tingkat pemula,,Tidak Dicantumkan,"Requirements Bachelor's Degree in any field, and proven experience in a similar industry (Ride-Hailing, Taxi, Transportation, or Logistic Industry) Minimum 1 year of experience in driver management, fleet operations, vehicle inspection, or maintenance (experience with electric vehicle is a plus) Tech-savvy, comfortable using various technologies and digital tools with ability in data analytics and administration Able to drive car and possesses a valid car driving license (SIM A) is a must Willing to work onsite and be actively involved in field operations Important Details Working arrangement: Fully working from office, with shifting schedule Placement: Surabaya area Candidates available for immediate joining will be given priority Show more Show less","Responsibilities Effectively coordinate driver partners to ensure supply-demand balance Oversee driver onboarding, training, and performance management Manage and coordinate drivers to ensure efficient vehicle utilization, address operational issues, and provide support to enhance driver performance and safety Handle arising incidents related to unit assets and drivers on a daily basis. Coordinate to monitor the progress of incident resolution with relevant parties Conduct vehicle inspections to ensure all units meet safety, performance, and quality standards before deployment or after servicing Requirements Bachelor's Degree in any field, and proven experience in a similar industry (Ride-Hailing, Taxi, Transportation, or Logistic Industry) Minimum 1 year of experience in driver management",Jasa Taksi dan Limosin,"Manajemen, Manufaktur",158,2026-02-16,LinkedIn,https://id.linkedin.com/jobs/view/operations-specialist-surabaya-at-gsm-xanhsm-co-ltd-4372524667,2026-03-04 18:53:35
Audit & Compliance Supervisor,Meratus Group,Surabaya dan Sekitarnya,,Senior tingkat menengah,,Tidak Dicantumkan,"Requirements Bachelor's degree in Accounting or Finance. A Master's degree in a related field would be a plus. Willing to relocate to Surabaya, East Java, Indonesia (for candidates outside Surabaya) A Certified Internal Auditor (CIA) designation is strongly preferred. Minimum of 5-8 years of progressive experience in internal auditing or external auditing. Prior experience working within a reputable accounting firm (Big Four preferred) or a large, complex group company is highly desirable. Strong understanding of business processes. Proven ability to read, interpret, and analyze financial reporting and statements. Proficiency in data analysis, with a proven ability to analyze financial data to identify trends, discrepancies, and opportunities for process improvement. Proficient in Microsof","Responsibilities Develop and execute a risk-based internal audit plan for Meratus Group's diverse business units. Working closely with the team to prepare clear, concise, and impactful audit reports for stakeholders. Act as a trusted advisor to management, and collaborate with various departments to foster a strong culture of control and continuous improvement. Proactively assess and identify strategic, operational, and financial risks to the business, ensuring the company complies with relevant local and international regulations Evaluate the effectiveness of Meratus Group's internal control framework, and provide practical recommendations for improving governance, strengthening controls, and enhancing operational efficiency. Requirements Bachelor's degree in Accounting or Finance. A Mast","Transportasi, Logistik, Rantai Pasokan, dan Penyimpanan","Akuntansi/Audit, Keuangan",,2026-02-28,LinkedIn,https://id.linkedin.com/jobs/view/audit-compliance-supervisor-at-meratus-group-4336018607,2026-03-04 18:53:41
Cost Controller - Asset Charter non Vessel,Meratus Group,Surabaya dan Sekitarnya,,Senior tingkat menengah,,Tidak Dicantumkan,Qualifications & Experience Education Bachelors degree in Accounting. Experience Minimum 3-5 years of experience in budgeting and reporting Experienced in logistics or trucking company would be an advantage Core Technical Competencies Business Acumen Business Process Management (P3W and Improvement) Basic Tax knowledge Basic Knowledge Corporate and Business Law Capital Expenditures and Investment Evaluation Change Management Cost Management Data Analytic Tools Financial Planning & Budgeting Financial Reporting & Variance Analysis Fraud & Risk Management Show more Show less,"Responsibilities Cost monitoring and control Develop and maintain cost tracking tools and dashboards. Monitor and control business expenditures (product, project or services). Manage accruals, deferred cost/expenses and committed purchase items. Reporting and analysis Prepare periodic (monthly, quarterly) and ad hoc cost reports and forecasts. Assist in preparing budgets, financial and cost estimates. Validate invoices and progress claims against budgets. Analyze cost variances and provide explanations for deviations. Conduct cost-benefit analysis and advise on cost optimization (saving) strategies (GOL) Liaise across Departments and/or Business Units to ensure cost alignment and accuracy Audit and Compliance Ensure cost compliance with company Policy, Process, Procedure, & Working Instruc","Transportasi, Logistik, Rantai Pasokan, dan Penyimpanan","Akuntansi/Audit, Keuangan",,2026-02-18,LinkedIn,https://id.linkedin.com/jobs/view/cost-controller-asset-charter-non-vessel-at-meratus-group-4338918136,2026-03-04 18:53:46
Ocean Export Agent,Expeditors,Surabaya,,Tingkat pemula,,Tidak Dicantumkan,"Qualifications 6 months to 1 year related experience and/or training; or equivalent combination of education and experience Understanding of ocean documentation process a plus Effective interpersonal skills, including proven abilities to listen, comprehend, effectively communicate clearly and concisely to obtain positive results Pro-active, strong organizational skills Good computer skills (Excel, Word) Hazardous Materials certification (preferred) Fluent in English Reporting Structure Ocean Export Supervisor Show more Show less","Responsibilities Ensure smooth and timely freight process flow Ensure accurate and timely data entry into our operational system Track and Trace Ocean Export Files and reporting Meet compliance at all times to regulations internal and external in accordance with government regulations Understand department process flow, and looking for best practices to improve operational efficiency and productivity Ensure all customers standard operating procedures in place and updated in the DLSOPs Overseas communications, timely responses to emails and requests (internal and external) Escalation of problems to Management when necessary Qualifications 6 months to 1 year related experience and/or training; or equivalent combination of education and experience Understanding of ocean documentation process","Pengembangan Perangkat Lunak, Jasa TI dan Konsultan TI",Rantai Suplai,,2026-02-12,LinkedIn,https://id.linkedin.com/jobs/view/ocean-export-agent-at-expeditors-4363177376,2026-03-04 18:53:51
Amazon VA,TalentPop App,Surabaya,,Asosiasi,,Tidak Dicantumkan,"Requirements Reliable internet connection with a minimum of 15 Mbps for both upload and download speed. Personal PC or laptop with a minimum i5 processor. Perks Of Working With TalentPop App Fully remote work setup with flexible collaboration. Paid time off to rest, recharge, and stay balanced. Health and dental coverage to keep you feeling your best. Recognition programs and growth opportunities within the team. Exciting holiday incentives and other team rewards. Important: Application Instructions To be considered for this position, please make sure to include the following application code in your submission: AVA25 . This code helps us quickly identify applicants for the Amazon E-Commerce Operations Assistant role. Applications submitted without this code may experience delays in proces","Join TalentPop App as an Amazon E-Commerce Operations Assistant (Remote) Are you an e-commerce expert who knows the ins and outs of Amazon Seller Central ? TalentPop App is seeking a highly organized and results-driven individual to take ownership of our Amazon marketplace operations. From maintaining stellar product listings to analyzing performance data and managing inventory, you will be a critical part of our success on one of the world's largest e-commerce platforms. What You'll Do Manage a",Jasa TI dan Konsultan TI,Lainnya,,2026-03-03,LinkedIn,https://id.linkedin.com/jobs/view/amazon-va-at-talentpop-app-4378142374,2026-03-04 18:53:56
quantity survey material,PT,Surabaya,,Tingkat pemula,,Tidak Dicantumkan,"Requirements JUJUR , teliti , akurat dan terorganisir Menguasai Program Ms. Office ( Excel, Word, Powerpoint, Nitro, dan lainnya) Menguasai AUTOCAD Mampu Membuat RAB, RAPP Mampu membuat perhitungan Volume Hasil Pekerjaan Mampu Membaca dan Memahami Gambar Rencana Kerja Siap Bekerja Lembur/ Bekerja dihari Minggu/Tanggal Merah Siap Bekerja dibawah Tekanan Displin, Tanggung Jawab atas pekerjaan Siap ditempatkan ke Luar Kota Dapat Bekerja Individu dan Maupun Team Responsibilities Pengarsipan data semua dokumen masuk ( Material Order , Bon materialL ; SJ ; DLL ) Pengarsipan data semua dokumen keluar Pengarsipan surat/memo keluar Pengarsipan surat/memo masuk Pemasukan data ke komputer semua transaksi MATERIAL Pengumpulan brosur untuk kelengkapan approval material Pembuatan permintaan contoh mater","Responsibilities Pengarsipan data semua dokumen masuk ( Material Order , Bon materialL ; SJ ; DLL ) Pengarsipan data semua dokumen keluar Pengarsipan surat/memo keluar Pengarsipan surat/memo masuk Pemasukan data ke komputer semua transaksi MATERIAL Pengumpulan brosur untuk kelengkapan approval material Pembuatan permintaan contoh material u/ approval Perhitungan volume material thd gbr pelaksanaan Perhitungan harga material thd gbr pelaksanaan Pembuatan cutting list alm. Extrusion Pembuatan laporan material ( compare harga & volume ) thd RAP Sidak lapangan bersama-2 dengan QC croscek volume material terpasang Pengontrolan MO ( Volume ; Waktu ; Spesifikasi ) terhadap RAP Pengecekan PO ( terbeli / sudah / harga ) Pengontrolan Pemakaian barang ( Gudang + Lapangan + Sisa / waste ) Pengontrolan",Barang Konsumsi,"Manajemen, Manufaktur",,2026-02-19,LinkedIn,https://id.linkedin.com/jobs/view/quantity-survey-material-at-pt-4375150748,2026-03-04 18:54:00
Junior Software Engineer,Halo AI (YC S22),Jakarta,,Tingkat pemula,,Tidak Dicantumkan,"Requirements Job Requirement 1–2 years of experience (or strong projects) in software development, fresh graduate are welcome. Solid foundation in full-stack fundamentals Experience with JavaScript frameworks, backend services, and databases Curiosity about AI, automation, and modern engineering workflows Strong problem-solving mindset and eagerness to learn Comfortable in a fast-paced startup environment What You'll Learn How to build and ship production-grade software End-to-end full-stack ownership and system thinking Using AI tools for coding, testing, debugging, and automation Startup execution: speed, prioritization, and impact Writing clean, scalable code that survives real users and real traffic Working closely with cross-functional teams to turn ideas into shipped features Show mo","Responsibilities Job Responsibility. Build and scale real-world full-stack systems used by customer Work hands-on with AI-powered development tools to move faster and smarter Solve complex, real-life problems in a fast-moving startup environment Collaborate directly with Product, Design, and Leadership Optimize performance, reliability, and scalability as the product grows Learn how production systems behave at scale, not just in theory Take part in code reviews, experimentation, and rapid iteration Requirements Job Requirement 1–2 years of experience (or strong projects) in software development, fresh graduate are welcome. Solid foundation in full-stack fundamentals Experience with JavaScript frameworks, backend services, and databases Curiosity about AI, automation, and modern engineerin",Pengembangan Perangkat Lunak,"Rekayasa, Teknologi Informasi",178,2026-02-25,LinkedIn,https://id.linkedin.com/jobs/view/junior-software-engineer-at-halo-ai-yc-s22-4376761349,2026-03-04 18:54:08
Back-End Developer Intern,Facetology,Jakarta,,Tingkat pemula,,Tidak Dicantumkan,"Requirements Intermediate knowledge of JavaScript (TypeScript is a plus) ElysiaJS/NestJS/Express/Fastify, etc. Intermediate knowledge of databases and SQL Familiar with Git and version control Curious, proactive, and willing to learn Show more Show less","Responsibilities #BeOneofOurFaces! Joining FACETOLOGY means becoming part of a dynamic beauty brand. We are a human-centric environment, driven by the purpose of enhancing quality of life through our products. As A Back-End Developer Intern, You Will Develop and maintain backend APIs using JavaScript/TypeScript Work with backend frameworks such as ElysiaJS, NestJS, Express, or similar Design and implement RESTful APIs Integrate with databases (PostgreSQL, MySQL, or NoSQL) Collaborate with frontend developers and other team members Requirements Intermediate knowledge of JavaScript (TypeScript is a plus) ElysiaJS/NestJS/Express/Fastify, etc. Intermediate knowledge of databases and SQL Familiar with Git and version control Curious, proactive, and willing to learn Show more Show less",Manufaktur Produk Perawatan Diri,"Rekayasa, Teknologi Informasi",,2026-02-05,LinkedIn,https://id.linkedin.com/jobs/view/back-end-developer-intern-at-facetology-4369120141,2026-03-04 18:54:14
Backend Engineer,Luno,Jakarta,,Tingkat pemula,,Tidak Dicantumkan,"About us: Luno is the crypto investment app you can rely on, enabling you to buy, store and explore crypto securely. We’re committed to putting the power of cryptocurrency in everyone's hands sensibly and responsibly. Since 2013, we’ve helped millions of people around the world invest safely in crypto. We do this by cutting through the hype and supporting customers at every step of the way. All products and cryptocurrencies on our platform must first meet stringent legal, risk and technical secu","About us: Luno is the crypto investment app you can rely on, enabling you to buy, store and explore crypto securely. We’re committed to putting the power of cryptocurrency in everyone's hands sensibly and responsibly. Since 2013, we’ve helped millions of people around the world invest safely in crypto. We do this by cutting through the hype and supporting customers at every step of the way. All products and cryptocurrencies on our platform must first meet stringent legal, risk and technical secu",Jasa Keuangan,Teknologi Informasi,105,2026-03-02,LinkedIn,https://id.linkedin.com/jobs/view/backend-engineer-at-luno-4377774630,2026-03-04 18:54:19
"Software Engineer, Backend",Grab,Area DKI Jakarta,,Asosiasi,,Tidak Dicantumkan,"Qualifications What Essential Skills You Will Need Bachelor's degree in Computer Science, Engineering, or a related field Minimum 2 years of professional experience in backend development with a strong architecture mindset Solid understanding of relational databases such as MySQL, PostgreSQL, including query optimization and data modeling Experience in Machine Learning / AI development or implementation is highly preferred. Hands-on experience designing and implementing scalable, distributed systems and microservices architectures Strong knowledge of software development life cycle (SDLC) and agile methodologies Proficiency with version control systems, particularly Git Familiarity with testing frameworks, quality assurance practices, and debugging techniques Excellent problem-solving skil","Company Description About Grab and Our Workplace Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility. Job Descrip","Teknologi, Informasi, dan Internet",Rekayasa,98,2026-03-03,LinkedIn,https://id.linkedin.com/jobs/view/software-engineer-backend-at-grab-4379185285,2026-03-04 18:54:25
Junior Full Stack Developer,Integrity Malaysia,Jakarta,,Tingkat pemula,,Tidak Dicantumkan,"requirements and you are looking for a new, exciting opportunity within a successful, growing company, then this role is for you! Integrity Indonesia is an equal-opportunity employer. Integrity Indonesia is a foreign investment company that has operated for 24 years in Indonesia. Our business is to provide services related to the prevention, detection and investigation of fraud. Our services include employment background screening, whistleblowing systems, mystery shopping services, due diligence, research & market intelligence, asset tracing, skip tracing, claims investigations, brand protection, anti-counterfeiting, trademark investigation and market surveys. Show more Show less","The Junior Full Stack Developer contributes to the development, maintenance, testing and optimization of Integrity applications by contributing to both frontend and backend components. Under the guidance of senior developers, the role aims to build reliable, secure, and scalable solutions while continuously developing technical and professional skills. What Will You Do Frontend & Mobile Development Develop and maintain web and mobile frontend components using TypeScript, modern frameworks, or na",Konsultan dan Jasa Bisnis,"Rekayasa, Teknologi Informasi",158,2026-02-04,LinkedIn,https://id.linkedin.com/jobs/view/junior-full-stack-developer-at-integrity-malaysia-4369053570,2026-03-04 18:54:30
Staff Backend Developer - Jakarta,PT. Varnion Technology Semesta,Jakarta,,Tingkat pemula,,Tidak Dicantumkan,"Kualifikasi Pengalaman 2+ tahun sebagai Backend Developer. Menguasai minimal satu bahasa backend: Golang, Node.js, Python dan PHP. Berpengalaman dengan framework backend seperti Express.js, Laravel, Gin Gonic, dan CodeIgniter. Memahami konsep RESTful API dan microservices. Pengalaman menggunakan database relasional seperti PostgreSQL atau MySQL, dan/atau database non-relasional seperti MongoDB dan Elasticsearch. Familiar dengan sistem version control seperti Git. Pengalaman melakukan deploy ke cloud platform (AWS, GCP, Azure) atau VPS merupakan nilai tambah. Memahami konsep autentikasi (seperti JWT), keamanan backend (rate limiting, input sanitizing), dan pengelolaan error dengan baik. Memahami Api Gateway. Show more Show less","Job Description Merancang, membangun, dan memelihara API dan sistem backend yang scalable dan secure. Mengelola dan mengoptimalkan database dan query untuk kinerja maksimal. Berkolaborasi dengan tim frontend, QA, dan produk untuk integrasi sistem. Menulis dokumentasi teknis dan unit test. Menangani debugging dan troubleshooting sistem backend. Menjaga standar keamanan data dan integritas sistem. Kualifikasi Pengalaman 2+ tahun sebagai Backend Developer. Menguasai minimal satu bahasa backend: Gol",Telekomunikasi,Teknologi Informasi,176,2026-02-03,LinkedIn,https://id.linkedin.com/jobs/view/staff-backend-developer-jakarta-at-pt-varnion-technology-semesta-4368462023,2026-03-04 18:54:37
Backend Developer,CODE.ID,Jakarta,,Tingkat pemula,,Tidak Dicantumkan,"Qualifications Have a strong understanding of server-side programming languages, database management, and API with Next.js, C# .NET, SQL, and GoLang. Have at least 4 years of experiences as Backend Developer with skills related Understand the concept of Microservice Architecture and Docker. Proven experience as a Back End Engineer. Familiar with any big cloud provider (Azure, Google, AWS). Familiar with unit and integration tests. Have enthusiast to explore new technology. Show more Show less","Design, develop, and maintain an offline-first application that is used widely by thousands/millions of users. Develop an application that is compatible with what and back what. Develop a feature that is designed with a multi-tenant architecture. Performing optimization on service and database logic. Perform testing and debugging to ensure the quality and reliability of the software. Collaborate with product managers, designers, and other stakeholders to actively participate in discussions and c",Jasa TI dan Konsultan TI,"Rekayasa, Teknologi Informasi",36,2026-02-27,LinkedIn,https://id.linkedin.com/jobs/view/backend-developer-at-code-id-4379068857,2026-03-04 18:54:43
Fullstack Developer,INDICO by Telkomsel,Jakarta,,Senior tingkat menengah,,Tidak Dicantumkan,"Requirements Proficient in Golang for backend development and React.js for frontend development with 5+ years of experience Strong experience with PostgreSQL, including database schema design and optimization Deep understanding of RESTful API development and integration between backend and frontend Familiarity with AWS for cloud platform services Proficient in implementing responsive and accessible UI components Familiarity with Figma or other UI/UX design tools for design collaboration Experience with containerization (Docker) and orchestration tools (Kubernetes) is a plus Familiarity with version control systems (e.g., Git) Soft Skills: Proven ability to manage both backend and frontend development tasks efficiently Strong problem-solving and debugging skills Excellent communication skil","Responsibilities: Design, develop, and maintain fullstack applications using Golang and React.js Build scalable and optimized RESTful APIs for backend services Create responsive user interfaces and integrate them with backend systems Collaborate with designers to implement UI/UX designs from Figma or similar tools Deploy and manage applications on AWS infrastructure Write unit tests to ensure code quality and reliability Optimize both backend and frontend components for performance Stay updated with fullstack development trends and best practices Requirements Proficient in Golang for backend development and React.js for frontend development with 5+ years of experience Strong experience with PostgreSQL, including database schema design and optimization Deep understanding of RESTful API deve",Jasa TI dan Konsultan TI,Lainnya,76,2026-02-25,LinkedIn,https://id.linkedin.com/jobs/view/fullstack-developer-at-indico-by-telkomsel-4377574376,2026-03-04 18:54:49
Fullstack Developer - MODA,PT Astra International Tbk,Jakarta,,Tingkat pemula,,Tidak Dicantumkan,"Persyaratan Pendidikan minimal S1 di bidang Teknik Informatika, Sistem Informasi, Teknik Komputer, Ilmu Komputer, atau bidang terkait. Menguasai JavaScript, React, Next.js dan Spring Boot. Memiliki keahlian yang kuat dalam Node.js. Berpengalaman dalam mengelola database MySQL. Menguasai HTML dan CSS. Mahir dalam pengembangan dan integrasi API. Memiliki pemahaman mendalam tentang client-side rendering dan server-side rendering. Memiliki keterampilan analisis, pemecahan masalah, dan komunikasi yang baik. Mampu bekerja secara efektif dalam lingkungan kerja tim. Show more Show less","tugas yang akan dan telah dikerjakan menggunakan tools yang tersedia. Membuat dan memelihara dokumentasi teknis terkait proses pengembangan dan proses teknis lainnya. Selalu mengikuti tren industri terbaru terkait teknologi backend dan frontend web serta praktik terbaiknya. Persyaratan Pendidikan minimal S1 di bidang Teknik Informatika, Sistem Informasi, Teknik Komputer, Ilmu Komputer, atau bidang terkait. Menguasai JavaScript, React, Next.js dan Spring Boot. Memiliki keahlian yang kuat dalam Node.js. Berpengalaman dalam mengelola database MySQL. Menguasai HTML dan CSS. Mahir dalam pengembangan dan integrasi API. Memiliki pemahaman mendalam tentang client-side rendering dan server-side rendering. Memiliki keterampilan analisis, pemecahan masalah, dan komunikasi yang baik. Mampu bekerja sec",Manufaktur Mesin Automasi,"Rekayasa, Teknologi Informasi",,2026-02-02,LinkedIn,https://id.linkedin.com/jobs/view/fullstack-developer-moda-at-pt-astra-international-tbk-4368410462,2026-03-04 18:54:54
Backend Engineer - AI Agent,Rize,Jakarta,,Senior tingkat menengah,,Tidak Dicantumkan,"Requirements 5+ years of backend engineering experience (Java / Spring preferred; strong Python or Node.js engineers are welcome) Hands-on experience building LLM powered applications using OpenAI, Anthropic, or similar APIs Strong prompt engineering skills, especially for structured outputs (JSON schemas, function calling, tool use) Experience with event-driven architectures: webhooks, message queues, async/background processing Comfortable operating in early-stage environments- ambiguity, speed, and ownership are part of the job (We currently support ~1,800 farmers and are building toward 10M) Show more Show less","Responsibilities What are we building We are developing a platform which will help our field operations team to effectively manage their task, capture cultivation logs from million plus hectares of paddy fields, effectively manage the supply chain of agri-inputs and aggregate third party services required during the lifecycle of paddy fields. The Current tech stack includes React Native for mobile applications, ReactJs for web app powered by Rest APIs developed with JAVA using Spring and Hibernate. What You Will Build You'll create the first autonomous agent for our workforce management platform - a scheduling agent that helps 50+ field agronomists coordinate sustainable rice farming operations across 7,000 hectares in Indonesia and Vietnam. Requirements 5+ years of backend engineering exp",Pertanian,"Rekayasa, Teknologi Informasi",,2026-03-03,LinkedIn,https://id.linkedin.com/jobs/view/backend-engineer-ai-agent-at-rize-4380758895,2026-03-04 18:54:59
"Frontend Software Engineer (Jakarta, Indonesia)",Weshine,Jakarta,,Tidak Berlaku,,IDR 18.500.000,"requirements and use them to design and develop functional frontend products Work with a cross disciplinary team to build a great product Requirements: B.S. or M.S. in Computer Science or equivalent degree or experience > 3 years of experience with client-side frameworks (ReactJS) UX Design experience in tools like Figma, Adobe or newer AI tools Familiarity with site performance tuning, concurrency handling and caching mechanisms Experience interfacing with APIs for building frontend Familiar with browser debugging and testing Experience with 1 or more cloud platforms (AWS is a plus) Show more Show less","Responsibilities: As a Frontend Software Engineer, you will be responsible for designing and implementing web-based applications to drive efficiency and productivity of our clients on the ESG platform. Your core responsibilities: Design and develop responsive, mobile-friendly highly localized web applications Basic understanding of HTML, CSS Contribute to product design and feature development focusing on User Experience Implement code with up to date web security best practices Write high quality, clean, maintainable code using engineering best practices Able to analyze requirements and use them to design and develop functional frontend products Work with a cross disciplinary team to build a great product Requirements: B.S. or M.S. in Computer Science or equivalent degree or experience >",Jasa Sumber Daya Manusia,"Rekayasa, Teknologi Informasi",,2026-02-24,LinkedIn,https://id.linkedin.com/jobs/view/frontend-software-engineer-jakarta-indonesia-at-weshine-4376077839,2026-03-04 18:55:08
Back End Developer,TOG Indonesia,"Jakarta Raya, Indonesia",,Senior tingkat menengah,,Tidak Dicantumkan,"Requirement Bachelor’s degree in Computer Science, Software Engineering, or related field. 3+ years of experience as a Backend Developer (preferably using Golang/Spring Boot/Phyton). Strong proficiency in (Golang/Spring Boot/Phyton), with experience in building RESTful APIs or microservices. Experience with database systems (PostgreSQL/MySQL/NoSQL). Familiarity with Docker and containerized environments. Knowledge of Git-based CI/CD pipelines. Understanding of software architecture, system design, and performance optimization. Strong problem-solving skills and ability to work on-site in a collaborative environment. Job Desk Design, develop, and maintain robust, scalable, and high-performance software applications. Ensure the use of best practices in software development, including coding s","Requirement Bachelor’s degree in Computer Science, Software Engineering, or related field. 3+ years of experience as a Backend Developer (preferably using Golang/Spring Boot/Phyton). Strong proficiency in (Golang/Spring Boot/Phyton), with experience in building RESTful APIs or microservices. Experience with database systems (PostgreSQL/MySQL/NoSQL). Familiarity with Docker and containerized environments. Knowledge of Git-based CI/CD pipelines. Understanding of software architecture, system desig","Jasa TI dan Konsultan TI, Pengembangan Perangkat Lunak","Rekayasa, Teknologi Informasi",,2026-02-12,LinkedIn,https://id.linkedin.com/jobs/view/back-end-developer-at-tog-indonesia-4371393917,2026-03-04 18:55:14
Software Engineer - Backend (Service),Samsung Southeast Asia & Oceania,Jakarta,,Tidak Berlaku,,Tidak Dicantumkan,"Qualifications Bachelor Degree from Computer Science or related fields Minimum 2 years of experience as backend software engineer with proven track record Preferably have an AWS Solution Architect certification or other related certifications Proficient in specific programming language Java / Python / Golang Proficient in specific framework Spring / Django / Fast API / GoSwagger Have knowledge in relational databases like MySQL, PostgreSQL Have knowledge in NoSQL databases like Amazon DynamoDB, MongoDB Have knowledge in caching systems like Redis/Valkey Have knowledge in Pub/Sub systems like Amazon SNS, Apache Kafka Have knowledge in queueing systems like Amazon SQS, RabbitMQ Have knowledge in automated application deployments (CI/CD) Have knowledge about how things flow/work in the cloud","Responsibilities [Development and Implementation] Analyze different requirement and manage development resources, schedule and risks. [Maintaining backend services] You will participate in the maintenance and deployment of the backend service running within the backend systems. [Improve the backend systems] The backend systems have lots of components. You will participate in making the use of these components more efficient and cost-effective. [Preserve reliability of the backend systems] The backend systems must not have downtime even in deployment. You will participate in keeping the systems up and reliable. [Securing Service quality] Participate in solving issues coming from verification department or market and improving quality of application. Skills And Qualifications Bachelor Degree","Manufaktur Peralatan Rumah Tangga, Peralatan Listrik, dan Elektronik, Manufaktur Komputer dan Elektronik","Riset, Bisnis Umum, Teknologi Informasi",,2026-03-04,LinkedIn,https://id.linkedin.com/jobs/view/software-engineer-backend-service-at-samsung-southeast-asia-oceania-4380735621,2026-03-04 18:55:18
Backend Engineer - Python (SDE 1),Kredivo Group,Area DKI Jakarta,,Tingkat pemula,,Tidak Dicantumkan,"requirements and deliver scalable solutions Write high quality, maintainable code Own parts of the system and continuously work to improve them in an agile environment. Benchmarking, load testing, diagnosing problems and helping create solutions Research and implement modern frameworks and technologies for back-end systems Participate in design discussions, reviews and propose/implement solutions to technical problems and challenges About You B.S, M.S, and/or PhD in Computer Science or equivalent 2+ years of working experience in the Software industry Well versed with Object Oriented Programming concepts Strong understanding of Data Structures, Algorithms, and Computer Science fundamentals Strong logical and innovative thinking, troubleshooting skills and diagnostic intuition, able to asse","About The Job Design and implement product features and functionality for various FinAccel/ Kredivo sites and services Work with the Product, Business, and Sales teams to gather and understand requirements and deliver scalable solutions Write high quality, maintainable code Own parts of the system and continuously work to improve them in an agile environment. Benchmarking, load testing, diagnosing problems and helping create solutions Research and implement modern frameworks and technologies for",Jasa Keuangan,"Rekayasa, Teknologi Informasi",,2026-03-04,LinkedIn,https://id.linkedin.com/jobs/view/backend-engineer-python-sde-1-at-kredivo-group-4379633757,2026-03-04 18:55:24
"Backend Engineer, Card Issuing",StraitsX,Jakarta,,Senior tingkat menengah,,Tidak Dicantumkan,"About The Role We are looking for a passionate Mid-Level Backend Engineer to join our team. The ideal candidate will have a strong foundation in back-end technologies, along with the ability to contribute to each phase of the software development lifecycle. What You Will Do Design, develop, test, and maintain features and functionalities for our web application/platform. Collaborate with cross-functional teams (Design, Product, QA) to define, design, and deliver new features and enhancements. Tr","About The Role We are looking for a passionate Mid-Level Backend Engineer to join our team. The ideal candidate will have a strong foundation in back-end technologies, along with the ability to contribute to each phase of the software development lifecycle. What You Will Do Design, develop, test, and maintain features and functionalities for our web application/platform. Collaborate with cross-functional teams (Design, Product, QA) to define, design, and deliver new features and enhancements. Tr",Jasa Keuangan,"Rekayasa, Teknologi Informasi",39,2026-02-24,LinkedIn,https://id.linkedin.com/jobs/view/backend-engineer-card-issuing-at-straitsx-4377423678,2026-03-04 18:55:30
Back End Engineer (Marketplace Order Operations) - Sea Labs,Sea,"Jakarta Raya, Indonesia",,Asosiasi,,Tidak Dicantumkan,"Requirements: Bachelor's or a higher degree in Computer Science or related fields Relevant experience in backend server development Familiar with commonly used languages, such as Golang / Python / C++ / Java In-depth understanding of Data Structures and Algorithms, Networking, OS and other Computer Science fundamentals Familiar with commonly used Databases, such as MySQL Familiar with commonly used middlewares, such as Redis and Kafka Familiar with Kubernetes (K8S) Microservice Architecture Familiar with HTTP/TCP protocols Familiar with XML/JSON/Protocol Buffers Familiar with distributed systems, performance tuning, massive concurrency handling, and caching mechanisms Show more Show less","About the Team: About Sea Labs Indonesia Sea Labs is at the core of the Sea platforms development, supporting diverse business lines from e-commerce, supply chain, games, payment and finance, among many others. The strong growth and unique positioning of Sea's e-commerce business, Shopee, spurred the launch of Sea Labs Indonesia. Since its inception, the group of passionate engineers have charted the course to drive the best experience for our users in Indonesia, many of which solutions are even","Teknologi, Informasi, dan Internet","Rekayasa, Teknologi Informasi",,2026-02-24,LinkedIn,https://id.linkedin.com/jobs/view/back-end-engineer-marketplace-order-operations-sea-labs-at-sea-3827698239,2026-03-04 18:55:36
